, ,New,Business Direct,Written Premium, , ,New Business,Count, , , ,Quotes, 
1,Product,2018,2019,2020,YTD,2018,2019,2020,YTD,2018,2019,2020,YTD
2,Auto,"$697,470","$727,930","$2,464,398","$5,092,638",435,391,"1,670","3,403","10,008","11,519","42,896","73,588"
3,Home,"$236,368","$312,886","$1,592,587","$3,366,095",205,282,"1,382","2,763","1,807","3,414","16,223","31,164"
4,Condo,"$8,229","$7,280","$21,572","$43,392",15,12,33,68,100,166,603,"1,167"
5,Renters,"$5,741","$10,657","$36,595","$77,060",28,51,192,469,245,387,"1,607","3,309"
6,Umbrella,"$22,351","$25,077","$88,577","$147,757",68,76,225,380,310,324,"1,089","1,723"
7,Landlord Protection Policy,"$17,820","$62,918","$141,281","$344,522",20,61,173,375,151,328,904,"1,728"
8,Motorcycle,"$8,354","$6,354","$20,772","$53,949",24,8,57,151,115,123,429,710
9,Watercraft,"$5,216","$3,396","$14,691","$35,548",9,11,41,98,50,69,200,339
10,Earthquake,$0,$0,$0,$0,0,0,0,0,0,0,0,0
11,Other Specialty Lines,$0,"$4,494","$1,149","$5,510",0,11,0,5,0,0,0,0
12,Total,"$1,001,549","$1,160,992","$4,381,622","$9,166,472",804,903,"3,773","7,712","12,786","16,330","63,951","113,728"
