, ,Line,Counts,(YTD), , , ,Premium, , , ,Losses Incurred, , 
1, ,Cal Yr New Counts,Inforce Line Counts,% Renewal Retention,Renewal Pricing,DPW (Month) $,New DPW (YTD) $,Total DPW (YTD) $,DPW % Chg (YTD),DPE (YTD) $,Losses Incurred (YTD) $,Other Expenses (YTD) $,DLI Ratio (Month),DLI Ratio (YTD)
2,Pers Vol Auto,8,40,92.9%,N/A,"$9,331","$27,008","$36,551",54.4%,"$24,892","$127,231",$338,999.9%,512.5%
3,Homeowners,10,31,85.7%,N/A,"$5,299","$14,562","$13,647",90.3%,"$8,598","$28,578",$396,468.4%,337.0%
4,Pers UB/Excess,3,4,0.0%,N/A,"$1,391","$2,090","$2,090",0.0%,$295,$0,$10,2.2%,3.2%
5,Personal Total,21,75,90.5%,N/A,"$16,021","$43,660","$52,288",69.5%,"$33,785","$155,809",$743,999.9%,463.4%
6,Comm Vol Auto,0,0,0.0%,0.00,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
7,BOP,0,0,0.0%,0.00,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
8,Comm Gen Liab,0,0,0.0%,0.00,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
9,Comm Property,0,0,0.0%,0.00,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
10,Comm Inl Mar,0,0,0.0%,0.00,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
11,Comm Other,0,0,0.0%,0.00,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
12,Comm UB/Excess,0,0,0.0%,0.00,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
13,B M,0,0,0.0%,0.00,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
14,Vol WCP,0,0,0.0%,N/A,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
15,Commercial Total,0,0,0.0%,0.00,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
16,Fidelity,0,0,N/A,N/A,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
17,Surety,0,0,N/A,N/A,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
18,Bonds Total,0,0,N/A,N/A,$0,$0,$0,0.0%,$0,$0,$0,0.0%,0.0%
19,Grand Total,21,75,90.5%,N/A,"$16,021","$43,660","$52,288",69.5%,"$33,785","$155,809",$743,999.9%,463.4%
20,Adj. Grand Total**,18,71,90.5%,N/A,"$14,630","$41,439","$50,068",62.3%,"$33,379","$146,536",$729,999.9%,441.2%
